,country,description,designation,points,price,province,region_1,region_2,variety,winery
850,Italy,"One of the best Amarones available, Campo dei Gigli is a powerhouse wine with loads of luscious berry intensity followed by a mixed box of Indian spice. Ground clove, cardamom and cinnamon all play a role in the beautiful bouquet and these aromas are matched by a succulent, rich mouthfeel.",Campo dei Gigli,94,70.0,Veneto,Amarone della Valpolicella,,"Corvina, Rondinella, Molinara",Tenuta Sant'Antonio
851,US,"Squeezed lime, wet concrete and green apple rind scents show on the nose of this basic bottling. Kaffir lime tang meets with ripe red apple and pear notes on the palate, framed by a stony texture.",,86,14.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Firestone
852,US,"Here again the Grand Estates bottling shows a softer, gentler side of the fruit; the acids seem to have been smoothed over. The fruit is ripe and clean, suggesting white peaches and green apples, but there isn't much depth to it.",Grand Estates,85,11.0,Washington,Columbia Valley (WA),Columbia Valley,Pinot Grigio,Columbia Crest
853,France,"A rich wine, with some weight, black cherry flavors and an edge of tannin. This is sufficiently structured to age, but the fresh fruit is all ready to appeal now.",Nouveau,86,,Beaujolais,Beaujolais-Villages,,Gamay,Vignerons de Bel Air
854,New Zealand,"From the folks at Pegasus Bay, this is a blend of purchased and estate fruit. Cherry notes blend with hints of mint, giving a bit of a medicinal edge to the flavors. Supple, but picks up a touch more green on the finish. Imported by Meadowbank Estates.",,86,25.0,Canterbury,,,Pinot Noir,Main Divide
855,US,"Grassy on the nose, but also with hints of nectarine, this is a light, herbal wine fine for picnics or other casual get-togethers. It's plump on the midpalate and tangy on the finish.",,84,12.0,California,North Coast,North Coast,Sauvignon Blanc,Clos du Bois
856,US,"Sweeter, more developed aromas of caramel, candied red apple, Boston baked beans and honeydew develop on the nose, while the mouth shows more typical Chard notes of baked apple and hazelnut butter. A touch round and flabby, but ends with a long, delicious, vanilla-kissed finish.",,86,15.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Rooster Hill
857,US,"Simple and forward but good in varietal character, with the flavors of black cherry jelly, mint and cola. Finishes dry and crisp.",,84,12.0,California,Napa County,Napa,Pinot Noir,Castle Rock
858,US,"Mostly Pinot Noir with some Chardonnay, this bubbly shows the pedigree of these two noble varieties in its balance and elegance. It has rich Champagne-like flavors of smoke, brioche, raspberry, lime and vanilla, and finishes dry and polished. This is a great price for a sparkling wine of this quality and sophistication.",Blanc de Noirs,90,19.0,California,Napa Valley,Napa,Sparkling Blend,Mumm Napa
859,Chile,"This is a new wine from Lapostolle, bearing a nose that's intense and compact, with mineral and dark fruit aromas. It feels rich and muscular but not heavy, with berry, licorice, buttery oak and vanilla flavors. The finish is minty and chocolaty tasting. Carmenère, Merlot, Cabernet Sauvignon and Syrah make up the blend.",Canto de Apalta,91,20.0,Rapel Valley,,,Red Blend,Lapostolle
860,Austria,"This wine leads with lovely touch of flint, accentuating its green pear and lemon zest aromas. On the palate, it's light and dry, with a phenolic character that lends both texture and structure, adding complexity to all the freshness.",,91,13.0,Burgenland,,,Grüner Veltliner,Von Donabaum
861,US,"This wine has more overtly new, toasty oak on it than almost anything I've tasted lately, especially on the finish, which is pure caramel. The wine itself is ripe in fruit, dry, acidic and tannic. It's not a bad wine, but an odd, inelegant one.",,83,14.0,California,Central Coast,Central Coast,Syrah,Hahn
862,Australia,"Wood, it seems, is what gives this wine most of its character: has tea, spice and smoke aromas, with tangy, seeped-tea tannins. Medium-bodied, it shows some of the classic Coonawarra clay-soil notes at its heart. Imported by Foster's Wine Estates Americas.",Show Reserve,87,24.0,South Australia,Coonawarra,,Cabernet Sauvignon,Rosemount
863,Italy,"Made with organically farmed grapes, this wine starts with an unusual nose that recalls Asian spices, curry, rosemary and citrus. The palate is less exotic, offering lemon-lime and grapefruit lightly accented with clove.",Cumalè,87,18.0,Southern Italy,Cilento,,Fiano,Casebianche
864,US,"This is a dry Syrah to drink now with upscale fare. It feels classy and important, although it's not a blockbuster. Prefers elegance over power, with firm tannins and acidity framing sour cherry candy, mineral and white pepper flavors. Drink now.",Alisos Vineyard,90,35.0,California,Santa Barbara County,Central Coast,Syrah,Qupé
865,Chile,"Herbal and raspy on the nose, with feral notes and briary red-berry scents. It's juicy and wild feeling, with briny, herbal plum and raspberry flavors. It finishes with a zap of blazing acidity.",Quinta Generación,85,28.0,Colchagua Valley,,,Red Blend,Casa Silva
866,US,"This Cab-dominated blend shows good concentration. Supple blue and black fruits are wrapped into a core of iron and lead pencil. The fruit is ripe but not over-ripe, and there's plenty of oak but not too much.",Collaboration Series I Ciel du Cheval Vineyard Red Wine,90,55.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Grand Rêve
867,France,"One of the largest vineyards in the Médoc and just outside Pauillac, this estate is also one of the most reliable. This vintage is finely structured with just the right amount of tannin to support the black and red-berry fruits. Fruity and juicy, it should be ready to drink from 2020.",,91,23.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Larose-Trintaudon
868,Australia,"This Pinot Gris is marching to the beat of its own drum, with some funky aromas and toast notes along with lemon and pear fruit. It's a tad volatile in the mouth but has some nice depth of flavor and a lingering cashew finish. Likeable for its originality.",Individual Vineyard Selection,86,18.0,South Australia,Eden Valley,,Pinot Gris,Pewsey Vale
869,Italy,"Chocolate, coconut, plum and coffee aromas lead the nose on this densely concentrated wine. The monolithic palate offers black cherry, chocolate-covered coconut and oak alongside astringent tannins that dry out the mouth.",Ruit Hora,87,30.0,Tuscany,Bolgheri,,Red Blend,Caccia al Piano 1868
870,US,"The toasty but slightly candied and sweet nose on this Finger Lakes Riesling leads into a zippy blanket of citrus, flowers and spice on the palate that does not completely mesh. A discordant undertone derails the whole.",Dry,81,13.0,New York,Finger Lakes,Finger Lakes,Riesling,Wagner
871,Italy,"Mionetto's rosé sparkler has a sharper, more determined edge, evident in its intense aromas of forest berry, white almond and cranberry. The wine is fizzy and tonic in the mouth and ends with bright acidity.",Sergio Rosé Extra Dry,85,,Veneto,Veneto,,Sparkling Blend,Mionetto
872,France,"Richly honeyed on the nose, with layers of mineral that lure you in. Tastes like honey-drizzled wet riverstones with a squeeze of citrus—mouthfilling yet precise. Long and intense on the finish. Imported by Monsieur Henri Wine Co.",Grenouille Grand Cru,92,90.0,Burgundy,Chablis,,Chardonnay,Château Grenouille
873,US,"Superripe, almost sweet, this has good acidity and firm, fuzzy tannins that help balance the jammy cherry, raspberry and cola flavors. Good with a slightly sweet barbecue sauce on ribs and chicken.",Crow Ridge Vineyard,86,29.0,California,Russian River Valley,Sonoma,Zinfandel,V. Sattui
874,Chile,"Syrah and Cabernet are at the heart of this blend, which is perfumed and bold, with olive, crushed earth and minerally aromas. Subtle on the palate, with dense but narrow plum and herb flavors. Finishes herbal, with good clarity, earth and character. Just shy of excellent.",Kuyen,89,30.0,Maipo Valley,,,Red Blend,Antiyal
875,Canada,"An aromatic knockout with notes of peach, papaya, lychee and brown sugar. At 250 g/L of residual sugar, it's dense and rich with carmelized sugar flavors and a lengthy finish.",Reserve Icewine,92,30.0,Ontario,Niagara-On-The-Lake,,Vidal,Pillitteri
876,US,"Carabella's estate-grown Chardonnay is generally done in a rich, flavorful style. Here it drifts over into a bit of volatility, with hints of nail polish in the aromas. Oily, nutty, and tasting of ripe tropical fruits, it's a stylized wine that will suit some tasters to a 'T'.",,87,27.0,Oregon,Chehalem Mountains,Willamette Valley,Chardonnay,Carabella
877,US,"Very lush and ripe in blackberry, cherry, currant and cassis flavors, with an oaky overlay, and there's a minerality toward the end that smacks of the soil. With an acidic jamminess and fierce tannins, the wine feels austere and remote. Give it 6 or 7 years in the cellar to come around.",,91,75.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,J. Davies
878,France,"This is the freshest apple and citrus-driven wine. It has great fruitiness allied to acidity and a soft, creamy structure. Drink in 2014.",Les Charmes,85,16.0,Burgundy,Mâcon-Lugny,,Chardonnay,Cave de Lugny
879,US,"With a honeyed edge of sweetness to the pineapple and lime flavors, this wine also has a zesty acidity that makes it finish with mouthwatering cleanness. It's easy to like, a nice late afternoon cocktail sipper, and good with baked ham or pot stickers.",,85,10.0,California,Lodi,Central Valley,Pinot Grigio,Renwood
880,Italy,"This Soave Classico from the 2007 vintage opens with a saturated, golden color and mature notes of apricot, honey and melon. There's a distinctive mineral note at the back that puts an elegant spin on those ripe fruit flavors.",Casette Foscarin,87,20.0,Veneto,Soave Classico,,Garganega,Monte Tondo
881,Italy,"This no-fuss Montepulciano d'Abruzzo should pair with pizza or grilled sausages, thanks to its simple array of fresh berry aromas. There's are sweet touches of ripe cherry and cinnamon on the close.",,85,8.0,Central Italy,Montepulciano d'Abruzzo,,Montepulciano,Spinelli
882,US,"Another solid hit from this value-conscious winery. It's soft, smooth and seductively velvety, with lush flavors of blueberries, licorice, beek jerky, cocoa, mint, smoke and pepper. Easy to drink. And re-drink.",,89,16.0,California,Sonoma County,Sonoma,Syrah,Valley of the Moon
883,Chile,"Stalky, herbal aromas of leather, olive, asphalt and berry fruits come in front of a clampy but fresh palate with hard tannins. Briny, herbal black-plum flavors fit the common profile for Carmenère, while this is slightly astringent on the finish.",Reserva,87,13.0,Apalta,,,Carmenère,Apaltagua
884,US,"Fruity, simple and lusty, this is made for barbecue. High alcohol gives sweet heat to the jammy cherry and currant flavors. It really wants to accompany charred meats slathered in sweet sauces.",Buck Hill,85,24.0,California,Sonoma County,Sonoma,Zinfandel,Amelle
885,US,"Smooth and supple, almost silky, this dense and delightful Syrah begins with a smoky, meaty run of sweet cherry and berry flavors, then quickly adds interesting nuances of herb and leaf and earth. The cherry fruit triumphs, along with cut tobacco and a whiff of clove, as it weaves through a long finish.",Heritage,91,45.0,Washington,Yakima Valley,Columbia Valley,Syrah,Olsen Estates
886,US,"Acidic to the point of sour, with a Lifesaver candy raspberry flavor. At least it's dry.",,82,30.0,California,Sonoma Coast,Sonoma,Pinot Noir,Copeland Creek
887,Italy,"Made entirely with native grape Nerello Mascalese, this elegant but structured wine offers crushed strawberry, wild cherry, nutmeg and white pepper sensations. It's focused and loaded with finesse. Drink now through 2023.",Sciarakè,91,32.0,Sicily & Sardinia,Etna,,Nerello Mascalese,Destro
888,Argentina,"A hot and fiery wine from San Juan province that mixes stewy barnyard aromas with black cherry. The palate has a syrupy, sugary feel and medicinal, creamy, baked berry flavors. Peppery on the finish, but with a medicinal aftertaste.",Ampakama,83,10.0,Other,San Juan,,Cabernet Sauvignon,Casa Montes
889,US,"As sweet as raspberry tea sweetened with a couple spoons of white sugar. Alcohol provides a pleasant burn. If this sweeter style of Zin is your thing, it's quite a nice wine.",,85,14.0,California,Lodi,Central Valley,Zinfandel,Lapis Luna
890,New Zealand,"A plump, nicely concentrated Sauvignon Blanc, the 2009 Mount Beautiful doesn't have the most intense aromatics, but is holding on to its weighty melon and fig flavors and lingering citrus finish. Drink up.",,87,20.0,Canterbury,,,Sauvignon Blanc,Mt. Beautiful
891,Italy,"The Pertinace evolved nicely in the glass; at first there are simple lime peel aromas, but over time, they become richer and slightly more complex. On the palate there is pear, as well as the lime and an interesting smoky quality. Crisp and with good balance, the finish is a little short. Imported by MW Imports.",,85,16.0,Piedmont,Roero Arneis,,Arneis,Pertinace
892,US,"This wine offers aromas of clove and woodspice, with blue-fruit notes in the background. The flavors showing pleasing density and weight, shortening up on the finish.",,88,14.0,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Waterbrook
893,Spain,"Dusty aromas of yellow apple and cream soda are creamier than the palate, which is tangy, lemony and green. This tastes of briny citrus and green apple, while tangerine, lime and green-herb flavors define the finish.",Brut,88,16.0,Catalonia,Cava,,Sparkling Blend,El Xamfrà
894,France,"This is young, dominated by some spicy wood and quite densely textured fruit and tannin. Impressive for a branded wine, all vibrant fruit, balanced by a firm, dry structure, and with a rich aftertaste. Age this for at least 1 year.",,87,24.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Jean-Pierre Moueix
895,Portugal,"Broadened by spicy wood, this is a smooth, rich and opulent wine. It has sweet plum and black cherry flavors to go with its dense texture. There is a light sprinkling of pepper to go with the grated nutmeg and powerful core of tannins. For aging 5–6 years and more.",,91,35.0,Douro,,,Touriga Nacional,Quinta do Vallado
896,US,"A floral, dusty nose, quickly leads into a burst of lime and orange. Broad, juicy and off-dry (1.3% residual sugar), its calling card is its great fruit flavor.",Mélange Blanc,87,15.0,Washington,Columbia Valley (WA),Columbia Valley,White Blend,Waterbrook
897,Italy,"Made with organically farmed grapes, this vino naturale opens with bright aromas of citrus, hay, cut grass and grapefruit. The wine shows a lean, compact feel in the mouth, with bright acidity on the finish.",,86,18.0,Tuscany,Maremma,,Vermentino,La Selva
898,US,"Unique and distinctive, this unusual effort mixes ripe, lightly peachy fruit with aggressively smoky barrel notes. It's a difficult wine to score ; although this is not a technically perfect bottle, it delivers a lot of flavor—if you really like smoke.",,86,16.0,Oregon,Southern Oregon,Southern Oregon,Chardonnay,Girardet
899,US,"Sweet and jammy in raspberry, cherry and blackberry fruit, with spicy, pie-filling flavors enhanced with plenty of toasty oak. Rather forward now, with firm tannins. Decant before drinking with steak, chops, or even a chocolate dessert.",,86,60.0,California,Rutherford,Napa,Cabernet Sauvignon,Terlato
900,Italy,"Well executed and intense, this pretty ripasso delivers vibrant tones of spice, incense, perfumed candle and mature fruit with balsamic accents of root beer and cola in the background. It tastes great thanks to its subtle cherry sweetness and fragrant floral nuances. Imported by Castellar Imports Inc.",Le Crosare,88,,Veneto,Valpolicella Classico Superiore Ripasso,,"Corvina, Rondinella, Molinara",Cantine Lenotti di Lenotti
901,France,"94-96 Barrel sample. Big tannins here, very dry, but the fruit seems rich enough to support it. It is finely structured, very dense, made for the long haul.",Barrel sample,95,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Rauzan-Ségla
902,Italy,"Here's an inky, concentrated ripasso with opulent notes of mature berry, strawberry and Indian spice. The wine delivers a powerful punch and tastes exceedingly thick and syrupy on the palate, although all that richness seems to finish rather quickly. Imported by Emilia Imports.",,87,22.0,Veneto,Valpolicella Superiore Ripasso,,"Corvina, Rondinella, Molinara",Montezovo
903,Italy,"This is a lovely Barolo with oak-driven aromas of vanilla and sweet spice between delicate layers of rose, tar and wild berry. There's plenty of tasty pulp and substance backed by tight tannins that will undoubtedly relax with more time in the bottle. Cellar age this wine five to ten more years.",Ciabot Berton,93,80.0,Piedmont,Barolo,,Nebbiolo,Ciabot Berton
904,Argentina,"A power-packed blend of 60% Cabernet and 40% Merlot that offers mossy aromas, earth and lush black fruit scents. The palate is lively yet balanced, with saturated wild berry, toast, anise and pepper flavors. Dark, toasted and showing licorice on the finish. A little hot and aggressive, so drink in late 2010 through 2012.",Celebración Reserve,90,20.0,Mendoza Province,Mendoza,,Bordeaux-style Red Blend,Andeluna
905,US,"Quite a beautiful, lush Syrah, and one that goes a long way to restoring faith in this long under-performing appellation. Dry and soft, the wine offers rich flavors of cassis, melted dark chocolate, leather, vanilla and anisette, with a pleasantly spicy edge of black pepper. Drink now.",Madden Ranch,92,40.0,California,Livermore Valley,Central Coast,Syrah,Fleming Jenkins
906,US,"A rugged Cabernet Sauvignon for everyday drinking, this is dry and smoothly tannic, and it deals blackberry jam, sage and cedar flavors.",,85,22.0,California,Happy Canyon of Santa Barbara,Central Coast,Cabernet Sauvignon,Three Saints
907,Portugal,"This Port shows considerable richness in its jammy, spicy red fruit character. It is dense, on the sweet side, with a great open, ripe style. The tannins are relatively soft, suggesting this delicious vintage is for medium-term aging.",Vintage,91,54.0,Port,,,Port,Quinta de la Rosa
908,France,"A powerhouse of rich Merlot, big, ripe, with black plums, sweet figs and only light acidity. A wine for lovers of big Merlots, this rolls generously around the mouth. Because of this immediate richness, it seems likely to age quickly.",,91,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Clinet
909,US,"Soft in structure and voluptuous in fruit, this Malbec has slightly sweet flavors of blackberries, blueberries and mulberries. Drink now.",Ms. Behave,84,32.0,California,Paso Robles,Central Coast,Malbec,Peachy Canyon
910,US,"You'll find good flavors of apples and peaches in this soft, dryish wine, as well as an earthiness. It has some oaky notes, and finishes with a touch of citrus.",,84,16.0,California,Paso Robles,Central Coast,Chardonnay,Robert Hall
911,US,"A common, rustic wine, okay for drinking with everyday fare. It's sharp in acidity and jammy in fruity raspberries and cherries, with a Beaujolais-like gassiness.",,83,9.0,California,North Coast,North Coast,Petite Sirah,Line 39
912,US,"As sharp, fresh and fruity as a jar of raspberry, cherry and blackberry jam, melted into liquid and fortified with alcohol. Feels hot, too, despite an official alcohol reading of just 14%. The winery held this back for five years, an expensive investment in storage, but the wine just can't quite overcome its limitations.",Cupa Grandis Grand Barrel Reserve,86,60.0,California,Paso Robles,Central Coast,Petite Sirah,EOS
913,Argentina,"Black plum, blackberry, lemon zest and licorice are the key aromas on this Amarone-patterned blend from Argentina. The palate is concentrated, rich and lush, with grabby, soft tannins and sweet flavors of blackberry, brown sugar and caramel. Toasty and mild on the finish, with jammy thickness.",Enamore,90,26.0,Mendoza Province,Mendoza,,Red Blend,Bodega Renacer
914,France,This is both fruity and deliciously crisp. It has the light touch of the vintage—red fruits attractively balancing with the acidity and the tangy lemon edge. The aftertaste is both fruity and herbal. Drink now.,,90,22.0,Provence,Côtes de Provence Sainte-Victoire,,Rosé,Mas de Cadenet
915,France,"The dilute, grapey flavors are candied, and a pile of charred lumber doesn't make them go down any easier. A simple wood-and-juice quaff.",,81,7.0,Languedoc-Roussillon,Vin de Pays d'Oc,,Syrah,Mont Saint-Vincent
916,US,"A bright, tart mix of fruit runs a gamut from citrus to apple to cherry. Flavors suggest young vines; clean, juicy and tasty with pure but simple fruit. A wine to enjoy while it's in the bloom of youth.",,88,29.0,Washington,Walla Walla Valley (WA),Columbia Valley,Malbec,Beresan
917,Germany,"The style at Dr. Pauly-Bergweiler is often quite sweet, and the 2009 Noble House is soft and succulent, marked by ripe apple and peach flavors. Pleasant, if slightly lacking in zip.",Noble House,84,12.0,Mosel,,,Riesling,Dr. Pauly Bergweiler
918,Italy,"With glittering diamonds encrusted in the glass of the bottle, Diadema would make a beautiful presentation at an elegant dinner. A blend of Sangiovese, Cabernet Sauvignon, Merlot and Syrah, this opens with modern tones of black fruit, chocolate and spice. The mouthfeel is smooth, long and rich.",Diadema,91,150.0,Tuscany,Toscana,,Red Blend,Diadema
919,US,"Light in color and body, with a silky texture like a Pinot Noir, but totally different flavors. The red cherries are there, along with leather, tar, balsam-splashed sautéed wild mushrooms and grilled meat, not to mention Nebbiolo's formidable tannins. Interesting and different.",The Glenrose Vineyard Invecchiato,87,35.0,California,Paso Robles,Central Coast,Nebbiolo,Adelaida
920,New Zealand,"Asparagus and green-herb aromas run smoothly into grapefruit, passion-fruit and sweet green-pea flavors. More citrus fruits emerge on the tart, cleansing finish.",,86,20.0,Marlborough,,,Sauvignon Blanc,Wairau River
921,Italy,"Some 18 months of aging in new oak have left their mark on this dark, sophisticated and elegant Amarone. This is a beautiful wine with aromas of dark berry, chocolate, cola, mesquite and exotic spice. It shows soft, velvety richness on the long finish.",Caterina Zardini,92,60.0,Veneto,Amarone della Valpolicella Classico,,"Corvina, Rondinella, Molinara",Giuseppe Campagnola
922,US,This wine is somewhat diluted and one-dimensional. It makes a straightforward attempt at bringing a richness of apple and anise to the fore around neutral oak dynamics before finishing ripe and full.,,84,18.0,California,Russian River Valley,Sonoma,Chardonnay,Mossback
923,US,"Tremendously rich in tangerine flavors, brightened with crisp citrus acidity, this is a Chardonnay to drink as an afternoon cocktail, with savory little appetizers. It's not complicated, but it sure is easy to like.",,87,22.0,California,Oak Knoll District,Napa,Chardonnay,Materra Cunat Family Vineyards
924,US,"Tannic and heavy now, a shut-down Pinot that's so full-bodied, it tastes like Grenache. Shows a multitude of red cherry jam, root beer and anise flavors, with herbs and earthy mushrooms. Should age. Better after 2011.",Brosseau Vineyard,88,54.0,California,Chalone,Central Coast,Pinot Noir,Testarossa
925,US,"Given 10 months in new French oak, this Dolcetto is firm and lush, imparting mouthwatering raspberry cobbler and smoky, cinnamon-cola aromas. Featuring resolved acidity, the texture is smooth and satisfying. It finishes leathery with a taste of earth.",,88,28.0,California,Sierra Foothills,Sierra Foothills,Dolcetto,La Folia Winery
926,US,"Similar to Brander's early release Sauvignon, this is a refreshingly dry, crisp wine, rich in citrus, fig and melon flavors, and clean as a whistle. What a great job the winery is doing with this varietal, at every price tier.",,87,13.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Brander
927,Italy,"This playful Recioto opens with black, inky concentration and thick aromas of blackberry, sweet clove, Christmas spice and nutmeg. There are some green herb or grass-like notes and the wine is sweet, chewy and slightly raw or bitter on the close.",375 ml,85,35.0,Veneto,Recioto della Valpolicella,,"Corvina, Rondinella, Molinara",Fattoria Garbole
928,US,"This is pure Syrah, done in a classy, confident style showing the dense, tannic, peppery fruit first and foremost. It hits you upfront with big, youthful, sappy flavors, then follows with barrel notes of toast, light leather, tobacco and roast beef. Very palate friendly.",,91,32.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Reininger
929,Spain,"Sweet, candied, minty and easygoing on the nose, then crisp and fresh in the mouth, with basic, stripped-down plum, berry and citrus flavors. Finishes fruity and fresh, with a mild candied sweetness.",Valdemoreda,84,7.0,Northern Spain,Rioja,,Tempranillo,Bodegas Valdemar
930,Italy,"The berry fruit here bears an herb-floral note on the nose, and opens to a light, supple palate of cherries accented by herb and chocolate accents. The finish shows good fruit and decent length, if slightly edgy tannins.",,85,15.0,Tuscany,Chianti Classico,,Sangiovese,Villa Maisano
931,US,"Graceful and aromatic, this 63% Cabernet Sauvignon, 37% Merlot is the top end wine from the estate-grown DuBrul vineyard. It has both elegance and intensity, and expresses power without falling prey to over-ripeness, excessive oak or other tricks of the trade. It captures the fruit and earth and herb of the Bordeaux grapes, tossing in hints of graphite and cedar and smoke. A wine that demands your attention, and warrants your applause.",DuBrul Vineyard Red,95,120.0,Washington,Yakima Valley,Columbia Valley,Red Blend,Côte Bonneville
932,US,"Strongly flavored and rustic in the mouth, with harsh, not quite ripe tannins framing jammy flavors of cherries, coffee and spice. This tough wine needs rich, oily meats and cheeses to balance it.",,83,30.0,California,Santa Barbara County,Central Coast,Teroldego,Mosby
933,Italy,"Always a fine choice among super Tuscans, Tassinaia blends one-third each of Sangiovese, Merlot and Cabernet to a rousing result. The big nose takes a while to unwind, revealing deep black fruit and leather. Big and firm in the mouth, with unwavering structure and full boysenberry and other dark-fruit flavors. Drinkable now but will hold nicely for another few years.",Tassinaia,92,45.0,Tuscany,Toscana,,Red Blend,Castello del Terriccio
934,France,"Salmon pink-colored wine that has crushed fresh strawberry flavors to go with the dense texture and tannins. Rich, full-bodied.",,89,11.0,Provence,Côtes de Provence,,Rosé,Domaine Houchart
935,France,"A Bordeaux blend with some Tannat thrown into the mix, this is a juicy, very fruity wine. It has fresh berry flavors, a touch of spice and soft tannins. Drink now.",,84,,Southwest France,Côtes de Gascogne,,Red Blend,Rieutort
936,Chile,"Crisp plum and berry aromas are a little sharp while the oak element on the nose is drying. The palate is tight and fairly high in acidity, yielding herbal, minty flavors of raspberry and red plum. Short and solid on the finish, but clean and good overall.",Casillero del Diablo Reserva,86,12.0,Rapel Valley,,,Syrah,Concha y Toro
937,Austria,"A rich style of Grüner, showing tropical fruits, pears and classic pepper. It is rounded out with lively acidity and some green skin structure, but still leaves ripeness in the aftertaste. Screwcap.",Kremser Gebling,88,20.0,Kremstal,,,Grüner Veltliner,Felsner
938,Italy,"This Cabernet Sauvignon and Merlot blend offers black currant, cedar, and black pepper scents. The firm palate doles out cassis, dried cherry and coffee notes, with a hint of sage and firm tannins. Drink through 2021.",Levia Gravia,89,56.0,Tuscany,Bolgheri Superiore,,Red Blend,Caccia al Piano 1868
939,Chile,"Earthy and foresty on the nose, with balsam wood aromas that go well with hints of grilled meats and spice. Not overly fruity but still well balanced, with blackberry, olive and herbal flavors. On the finish, chocolate and coffee enter the picture. Easy to like and good for the money.",Reserva,87,12.0,Aconcagua Valley,,,Cabernet Sauvignon,Agustinos
940,US,"A note of ground chipotle is at the forefront, with touches of blackberry pastry and dark stone fruit. This starts off lush and thick, with firm tannins framing the cassis and smoked-pepper flavors. The finish is toasty, with bright acids jutting out.",Estate Club,85,32.0,Virginia,Virginia,,Cabernet Franc,Veramar
941,US,"A worthy followup to the excellent '02, this bottling seems riper and more chocolaty, with more apparent sweetness. Yet it has a firm tannic structure with good acidity. The basic flavors are of cassis, blackberry jam, cherries and smoky leather, with sweet vanillins from new oak.",Page Nord Vineyard,89,38.0,California,Oak Knoll District,Napa,Syrah,Surh Luchtel
942,Chile,"Tight, angular aromas of cranberry, red plum, crushed mineral and dried leaves lead to a tough palate with black fruit flavors led by prune. A very concentrated, powerful wine based on Carignan and Syrah, with lemony oak and pounding tannins. Should be more tame by now; hold another year or two, and keep your fingers crossed.",Cordillera Reserva Privada,87,27.0,Central Valley,,,Red Blend,Miguel Torres
943,US,"This late-disgorged wine has been released at the age of 11 years. It's a beautiful wine, notable especially for the ultrafine feeling of the mousse, or bubbles. So refined and silky. Rich too are the flavors, in limes, strawberries, toasty lees and minerals. A spectacular sparkling wine that has many years of development ahead.",Carneros Cuvée,95,50.0,California,Carneros,Napa-Sonoma,Sparkling Blend,Gloria Ferrer
944,US,"Leafy, brambly notes are prominent against a backdrop of lean red-cherry flavors on this tart, Cabernet Franc-dominant blend. It's a vibrantly acidic but delicately structured wine with soft, rippling tannins on the finish.",Blackbird,85,22.0,New York,Finger Lakes,Finger Lakes,Bordeaux-style Red Blend,Silver Thread
945,France,"A delicious wine that's now approaching maturity, but it still promises to age for several years. Its crisp flavors of green and white fruits are merging into notes of toast, yeast and herb. It shows a mineral texture and tense acidity.",Altenberg de Bergheim Grand Cru Vieilles Vignes,91,50.0,Alsace,Alsace,,Riesling,Gustave Lorentz
946,US,"This is taut, muscular, toasty, young and tight; the fruit is concentrated, pure and evocative, with earthy flavors that add notes of soil, spice and mineral. The most complex of all the Betz blends, in this vintage it includes 84% Cabernet Sauvignon—far and away the dominant flavor. The fruits unfold in a rich panoply of reds and blues; the tannins are rich and chewy, polished and complex, showing exemplary back of the palate grip and concentration.",Père de Famille,96,58.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Betz Family
947,France,"It's pricey for a Vin de Pays, but it's basically a baby Côte Rôtie, made from Syrah grown on steep slopes in the Northern Rhône. Raspberry aromas blend with hints of cracked pepper and a hint of hickory-smoked bacon, while the palate adds flavors of espresso and black olive to the mix. Silky and long on the finish. Drink now–2018, and possibly beyond.",L'Âme Soeur,91,87.0,Rhône Valley,Vin de Pays des Collines Rhodaniennes,,Syrah,Michel & Stéphane Ogier
948,US,"Aromas of pear, red apple and pineapple lead to sweet green and red apple flavors with a tart finish.",Reserve Late Harvest,85,19.0,Idaho,,,Riesling,Bitner
949,Italy,Here's a youthful but oak-driven blend that offers a patina of toasted almond and spice over a plush core of ripe raspberry and blackberry. The finish is characterized by tobacco and drying mineral.,,90,,Tuscany,Bolgheri Superiore,,Red Blend,Ferrari Iris & Figli
950,US,"Bold and nicely astringent, this wine is full bodied, rich in flavor and even richer in texture due to a thick layer of fine tannins. Built almost like a Cabernet but with brighter fruit flavors, the wine is attractively dry and meant to be enjoyed with something rich like a roast or steak.",Cemetery Vineyard Indigenous,89,32.0,California,Lodi,Central Valley,Zinfandel,Oak Farm Vineyards
951,Chile,"Basic but in the best possible way. The nose is familiar, clean and inviting due to licorice, sweet black fruit and smoky aromas. Fresh in the mouth, with bright acidity pumping up berry, cassis and herbal flavors. Composed on the finish, with a high level of competence.",,88,12.0,Central Valley,,,Cabernet Sauvignon,Asunto de Vino
